Index,ICD10-CM,ICD9-CM,Keys,ShortDescription,Description,Text
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, I want you to drink plenty of fluids to prevent dehydration.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll help me get better."
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll take good care of me."
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll help me get better."
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll take good care of me."
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll take good care of me."
2,A000,0010,1,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you been traveling recently?

Patient: Yes, I just came back from a trip to a country where cholera is common.

Doctor: Okay, that's a possible cause. Any other symptoms?

Patient: I've been feeling weak and dizzy, and I have a fever.

Doctor: Those are all classic symptoms of cholera. I'm going to run some tests to confirm the diagnosis and we'll start treatment right away to get you feeling better. It's important to stay hydrated, so I'll also give you some fluids to replenish what you've lost.

Patient: Thank you, doctor. I'm really worried, but I trust that you'll take good care of me."
Index,ICD10-CM,ICD9-CM,Keys,ShortDescription,Description,Text
Index,ICD10-CM,ICD9-CM,Keys,ShortDescription,Description,Text
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll take good care of me."
1,A00,No equivalence,0,Cholera,Cholera,"

Patient: Good morning, doctor. I'm feeling really sick and I think I might have cholera.

Doctor: Okay, tell me what symptoms you're experiencing.

Patient: Well, I've been having severe diarrhea and vomiting for the past few days. I can't keep anything down and I'm getting dehydrated.

Doctor: Have you noticed any abdominal pain or cramping?

Patient: Yes, I have. It's been pretty intense and it's making it hard for me to sleep.

Doctor: Have you traveled recently or been in contact with anyone who has had cholera?

Patient: No, I haven't traveled anywhere and I don't know anyone who has had it. But I did eat some seafood from a street vendor a few days ago.

Doctor: Okay, that could be a possible source of infection. I'm going to order some tests to confirm if you have cholera. In the meantime, it's important that you stay hydrated and get plenty of rest.

Patient: Thank you, doctor. I'm really worried about this, but I trust that you'll take good care of me."
