,TABLETYPE,ICD10-CM,ICD9-CM
0,A,A000,0010
1,A,A001,0011
2,A,A009,0019
3,A,A010,0020
4,A,A011,0021
5,A,A012,0022
6,A,A013,0023
7,A,A014,0029
8,A,A020,0030
9,A,A021,0031
10,A,A022,00320
11,A,A028,0038
12,A,A029,0039
13,A,A030,0040
14,A,A031,0041
15,A,A032,0042
16,A,A033,0043
17,A,A038,0048
18,A,A039,0049
19,A,A040,00801
20,A,A041,00802
21,A,A042,00803
22,A,A043,00804
23,A,A044,00809
24,A,A045,00843
25,A,A046,00844
26,A,A047,00845
27,A,A048,00849
28,A,A049,0085
29,A,A050,0050
30,A,A051,0051
31,A,A052,0052
32,A,A053,0054
33,A,A054,00589
34,A,A058,00589
35,A,A059,0059
36,A,A060,0060
37,A,A061,0061
38,A,A062,0062
39,A,A063,0068
40,A,A064,0063
41,A,A065,0064
42,A,A066,0065
43,A,A067,0066
44,A,A068,0068
45,A,A069,0069
46,A,A070,0070
47,A,A071,0071
48,A,A072,0074
49,A,A073,0072
50,A,A078,0078
51,A,A079,0079
52,A,A080,00861
53,A,A081,00863
54,A,A082,00862
55,A,A083,00869
56,A,A084,0088
57,A,A085,00849
58,A,A09,0093
59,A,A150,01193
60,A,A151,01194
61,A,A152,01195
62,A,A153,01190
63,A,A154,01214
64,A,A155,01224
65,A,A156,01204
66,A,A157,01004
67,A,A158,01284
68,A,A159,01194
69,A,A160,01196
70,A,A161,01191
71,A,A162,01190
72,A,A163,01210
73,A,A164,01220
74,A,A165,01200
75,A,A167,01000
76,A,A168,01280
77,A,A169,01190
78,A,A170,01300
79,A,A171,01310
80,A,A178,01320
81,A,A179,01390
82,A,A180,01500
83,A,A181,01600
84,A,A182,01720
85,A,A183,01400
86,A,A184,01700
87,A,A185,01730
88,A,A186,01740
89,A,A187,01760
90,A,A188,01790
91,A,A190,01800
92,A,A191,01800
93,A,A192,01800
94,A,A198,01880
95,A,A199,01890
96,A,A200,0200
97,A,A201,0201
98,A,A202,0205
99,A,A203,0208
100,A,A207,0202
101,A,A208,0208
102,A,A209,0209
103,A,A210,0210
104,A,A211,0213
105,A,A212,0212
106,A,A213,0211
107,A,A217,0218
108,A,A218,0218
109,A,A219,0219
110,A,A220,0220
111,A,A221,0221
112,A,A222,0222
113,A,A227,0223
114,A,A228,0228
115,A,A229,0229
116,A,A230,0230
117,A,A231,0231
118,A,A232,0232
119,A,A233,0233
120,A,A238,0238
121,A,A239,0239
122,A,A240,024
123,A,A241,025
124,A,A242,025
125,A,A243,025
126,A,A244,025
127,A,A250,0260
128,A,A251,0261
129,A,A259,0269
130,A,A260,0271
131,A,A267,0271
132,A,A268,0271
133,A,A269,0271
134,A,A270,1000
135,A,A278,10089
136,A,A279,1009
137,A,A280,0272
138,A,A281,0783
139,A,A282,0278
140,A,A288,0278
141,A,A289,0279
142,A,A300,0302
143,A,A301,0301
144,A,A302,0303
145,A,A303,0303
146,A,A304,0303
147,A,A305,0300
148,A,A308,0308
149,A,A309,0309
150,A,A310,0310
151,A,A311,0311
